pair_id,investigator_id,investigator_name,investigator_paradigm,investigator_family,evidence_top3,opportunity_id,notice_number,notice_title,designation,notice_family,purpose_excerpt,stratum,synthetic,tier_a,reason_a,axis_reason_a,tier_b,reason_b,axis_reason_b,tier_adj,reason_adj,axis_reason_adj,notes
g012,b7df095b-3f23-4a47-93a7-d9e8d86b828f,Jacob S Young,Clinical observational,clinical,Impact of Postoperative Diffuse-Weighted Imaging Rim Restriction on Neurological Outcomes After Resection of Newly Diagnosed Isocitrate Dehydrogenase-Wildtype Glioblastoma. | Management of glioma-associated epilepsy in the molecular era: a review of the literature and an institutional experience. | Maximum safe resection of insular gliomas: update on surgical outcomes from 500 cases.,840a60f5-2c2f-45bf-8335-ce7e7dda2f3f,RFA-CA-27-005,Glioblastoma Therapeutics Network (GTN) (U19 Clinical Trial Required),Clinical Trial Required,translational,"The overall goal of this Notice of Funding Opportunity (NOFO) is to improve the treatment of adult Glioblastoma Multiforme (GBM) by developing novel effective agents that can cross the blood brain barrier (BBB) and testing them in the clinic. To implement this initiative, multi-institutional teams are invited to participate in the Glioblastoma Therapeutics Network (GTN). Each GTN team is expected to drive therapeutic agent(s) from late pre-clinical development, through IND studies, into pilot clinical studies in humans. Successful early-stage trials of these new drugs would transition…",current,,,,,,,,,,,
g013,6b1d1dbd-539e-45f0-955c-682f4dc9fa7d,Elizabeth E Crouch,Molecular / cellular mechanistic,discovery,The molecular landscape of vascular cells in the human brain. | The promise of cerebral organoids for neonatology. | Profiling human brain vascular cells using single-cell transcriptomics and organoids.,5fda7616-99f5-40d4-abab-d5db4df5326b,PAR-25-037,Cellular and Molecular Biology of Complex Brain Disorders (R21 Clinical Trial Not Allowed),Clinical Trial Not Allowed,discovery,"This Notice of Funding Opportunity (NOFO) encourages research on the biology of high confidence risk factors associated with complex brain disorders, with a focus on the intracellular, transcellular and circuit substrates of neural function. For the purposes of this NOFO , the term ""complex"" can refer to a multifactorial contribution to risk (e.g., polygenic and/or environmental) and/or highly distributed functional features of the brain disorder. Studies may be either hypothesis-generating (unbiased discovery) or hypothesis-testing in design and may utilize in vivo, in situ, or in vitro…",current,,,,,,,,,,,
g014,019aef54-10ea-42d7-8399-83c706f7f6e8,Aleksandar Rajkovic,Molecular / cellular mechanistic,discovery,"The Human Intolerome: A curated database to prioritize genomic variants in stillbirth, pregnancy loss, and neonatal death. | Preconception Genetic Carrier Screening for Miscarriage Risk Assessment: A Bioinformatic Approach to Identifying Candidate Lethal Genes and Variants. | Heterozygous TP63 pathogenic variants in isolated primary ovarian insufficiency.",70777dc9-214e-4084-b5f2-4b9b8a954466,PAR-25-266,Innovative Screening Approaches and Therapies for Screenable Disorders in Newborns (R21 - Clinical Trial Optional),Clinical Trial Optional,none,"This NOFO encourages research relevant to the development of novel screening approaches and/or therapeutic interventions for conditions for which newborn screening has already been implemented, as well as for potentially fatal or disabling genetic conditions that could benefit in the near future from the early detection made possible by newborn screening. This research is especially critical given that accurate screening tests and demonstrable benefits of early intervention are often prerequisites for new conditions to be added to newborn screening panels.",current,,,,,,,,,,,
g015,31c0e2c5-6af5-4861-8c7f-29e8ce493f7c,Jennifer M Puck,Clinical observational,clinical,Neurodevelopmental outcomes following hematopoietic cell transplantation for patients with severe combined immunodeficiency (SCID): A PIDTC study. | The diagnosis of severe combined immunodeficiency: Implementation of the PIDTC 2022 Definitions. | Outcomes following matched sibling donor transplantation for severe combined immunodeficiency: a report from the PIDTC.,d40cae3b-c777-425a-a24e-ea9dc9ea9fc3,PAR-25-185,Screening and Functional Validation of Genomic Variants Associated with Human Congenital Anomalies (R01 Clinical Trial Not Allowed),Clinical Trial Not Allowed,discovery,"Rapid advances in genotyping and next generation sequencing technologies have led to the identification of genetic variants that are associated with a wide variety of congenital defects including structural congenital anomalies (SCAs), intellectual developmental disabilities (IDDs) and inborn errors of metabolism (IEMs). Large quantities of genomic data collected from pediatric congenital anomalies cohorts are available to the research community through several databases such as the Database of Genotypes and Phenotypes (dbGaP), the Gabriella Miller Kids First Data Resource Portal, the…",current,,,,,,,,,,,
g016,be7ade9b-cda3-4266-b6c4-dfbcdb778110,Tippi C MacKenzie,Molecular / cellular mechanistic,discovery,In utero lipid nanoparticle delivery achieves robust editing in hematopoietic stem cells. | Prenatal AAV9-GFP administration in fetal lambs results in transduction of female germ cells and maternal exposure to virus. | Single nuclei and spatial profiling of sacrococcygeal teratomas reveals cellular composition and X inactivation heterogeneity.,b0f166c7-b28c-41f7-8091-b644a5d9743e,PAR-25-265,Innovative Screening Approaches and Therapies for Screenable Disorders in Newborns (R01 - Clinical Trial Optional),Clinical Trial Optional,discovery,"This NOFO encourages research relevant to the development of novel screening approaches and/or therapeutic interventions for conditions for which newborn screening has already been implemented, as well as for potentially fatal or disabling genetic conditions that could benefit in the near future from the early detection made possible by newborn screening. This research is especially critical given that accurate screening tests and demonstrable benefits of early intervention are often prerequisites for new conditions to be added to newborn screening panels.",current,,,,,,,,,,,
g017,bc351a73-0c5e-4247-9bff-7e681c6e5b46,Margaret E Feeney,Translational,translational,Inhibitory NK receptor expression associates with altered antimalarial function of γδ T cells. | Malaria immunity in the infant: progress and pitfalls. | Congenital cytomegalovirus infection drives oligoclonal expansion of cytotoxic ?d T cells from early fetal progenitors.,d466aefd-be25-4f4b-bca1-4f73b531e223,PAR-25-362,Early Immune System Development and Ontogeny (R01 Clinical Trial Optional),Clinical Trial Optional,discovery,"The purpose of this Notice of Funding Opportunity (NOFO) is to further elucidate the mechanisms of early immune development in utero, during the early post-natal period and during early childhood in neonates, infants, and children and adolescents with or without in-utero exposure to HIV or Anti-Retroviral Therapeutics (ART). This initiative aims to understand intricate mechanisms of immune cells at the maternal-fetal interface, T and B cell development and maturation in offspring, and local immune responses and the role of systemic immunity.",current,,,,,,,,,,,
g018,e7ad1842-9635-40c3-89b0-b0efae927f63,Peter J Turnbaugh,Molecular / cellular mechanistic,discovery,Shifts in the human gut microbiome during cancer chemotherapy are diet-dependent. | Expansion of a bacterial operon during cancer treatment ameliorates drug toxicity. | Gut bacterial lactate stimulates lung epithelial mitochondria and exacerbates acute lung injury.,cc9c6933-60a0-4c9d-a002-55c3f29bc003,PAR-25-210,Enhancing Mechanistic Research on Precision Probiotic Therapies (R33 Clinical Trial Optional),Clinical Trial Optional,discovery,"The purpose of this notice of funding opportunity (NOFO) is to support highly innovative mechanistic research to accelerate the development of effective precision probiotic interventions. The NOFO aims to identify, understand, and develop strategies to address barriers in precision probiotic interventions' development to account for human heterogeneity resulting in inconsistent responses to probiotic treatments. Specifically, this NOFO solicits R33 applications that will assess the causality of person-specific features or patterns affecting probiotic responses and identify subgroups of…",current,,,,,,,,,,,
g019,85754923-7a39-4f96-8879-7aae85f87f99,Matthew H Spitzer,Molecular / cellular mechanistic,discovery,T Cells Instruct Immune Checkpoint Inhibitor Therapy Resistance in Tumors Responsive to IL1 and TNFα Inflammation. | A conserved immune trajectory of recovery in hospitalized COVID-19 patients. | Single-cell analysis by mass cytometry reveals metabolic states of early-activated CD8(+) T cells during the primary immune response.,803a9b60-5c51-46a4-915c-32af964dc9b7,PAR-25-447,"NHLBI TOPMed: Omics Phenotypes of Heart, Lung, and Blood Disorders (X01 - Clinical Trial Not Allowed)",Clinical Trial Not Allowed,discovery,"This Notice of Funding Opportunity (NOFO) invites applications to use NHLBI-funded TransOmics for Precision Medicine (TOPMed) program to access TOPMed capacity to generate a large volume of integrated genetic and multi-omics data to facilitate discovery of the molecular mechanisms of Heart, Lung, Blood, and Sleep (HLBS) disorders. No funding will be provided under this NOFO. The genomic data and related phenotypic data will be deposited in a public NIH-designated controlled-access database such as the database for Genotypes and Phenotypes (dbGaP) and NHLBI's BioData Catalyst (BDC). The…",current,,,,,,,,,,,
g020,839f4bfe-daa5-4972-848f-a6514f496f76,Michael Alexanian,Molecular / cellular mechanistic,discovery,Chromatin Remodeling Drives Immune-Fibroblast Crosstalk in Heart Failure Pathogenesis. | A transcriptional switch governs fibroblast activation in heart disease. | Epigenomic mechanisms of cardiac fibrosis and heart failure (1R01HL175312-01A1 · FY2025 · R01),5fda7616-99f5-40d4-abab-d5db4df5326b,PAR-25-037,Cellular and Molecular Biology of Complex Brain Disorders (R21 Clinical Trial Not Allowed),Clinical Trial Not Allowed,discovery,"This Notice of Funding Opportunity (NOFO) encourages research on the biology of high confidence risk factors associated with complex brain disorders, with a focus on the intracellular, transcellular and circuit substrates of neural function. For the purposes of this NOFO , the term ""complex"" can refer to a multifactorial contribution to risk (e.g., polygenic and/or environmental) and/or highly distributed functional features of the brain disorder. Studies may be either hypothesis-generating (unbiased discovery) or hypothesis-testing in design and may utilize in vivo, in situ, or in vitro…",current,,,,,,,,,,,
g021,3748aa25-0c77-4c04-aabc-42489eebe490,John R Greenland,Translational,translational,Persistent and progressive acute lung allograft dysfunction is linked to cell compositional and transcriptional changes in small airways. | Cytomegalovirus-associated CD57 + KLRG1 + CD8 + TEMRA T cells are associated with reduced risk of CMV viremia in kidney transplantation and chronic allograft dysfunction in lung transplantation. | Frailty in lung transplant recipients is associated with anemia and telomere dysfunction but independent of epigenetic age.,803a9b60-5c51-46a4-915c-32af964dc9b7,PAR-25-447,"NHLBI TOPMed: Omics Phenotypes of Heart, Lung, and Blood Disorders (X01 - Clinical Trial Not Allowed)",Clinical Trial Not Allowed,discovery,"This Notice of Funding Opportunity (NOFO) invites applications to use NHLBI-funded TransOmics for Precision Medicine (TOPMed) program to access TOPMed capacity to generate a large volume of integrated genetic and multi-omics data to facilitate discovery of the molecular mechanisms of Heart, Lung, Blood, and Sleep (HLBS) disorders. No funding will be provided under this NOFO. The genomic data and related phenotypic data will be deposited in a public NIH-designated controlled-access database such as the database for Genotypes and Phenotypes (dbGaP) and NHLBI's BioData Catalyst (BDC). The…",current,,,,,,,,,,,
g022,9a53c7cc-46be-4075-b587-28e52483dbf6,Hugo Gonzalez Velozo,Basic / fundamental discovery,discovery,Cellular architecture of human brain metastases.,5fda7616-99f5-40d4-abab-d5db4df5326b,PAR-25-037,Cellular and Molecular Biology of Complex Brain Disorders (R21 Clinical Trial Not Allowed),Clinical Trial Not Allowed,discovery,"This Notice of Funding Opportunity (NOFO) encourages research on the biology of high confidence risk factors associated with complex brain disorders, with a focus on the intracellular, transcellular and circuit substrates of neural function. For the purposes of this NOFO , the term ""complex"" can refer to a multifactorial contribution to risk (e.g., polygenic and/or environmental) and/or highly distributed functional features of the brain disorder. Studies may be either hypothesis-generating (unbiased discovery) or hypothesis-testing in design and may utilize in vivo, in situ, or in vitro…",current,,,,,,,,,,,
g023,2bed2bdf-7ff3-46b4-8f59-fc2eedf258d2,Anthony K Shum,Molecular / cellular mechanistic,discovery,Validating interferon score and phospho-STING level as disease biomarkers of COPA syndrome (1R21TR005838-01 · FY2025 · R21) | Phage Immunoprecipitation-Sequencing Reveals CDHR5 Autoantibodies in Select Patients With Interstitial Lung Disease. | The common HAQ STING allele prevents clinical penetrance of COPA syndrome.,803a9b60-5c51-46a4-915c-32af964dc9b7,PAR-25-447,"NHLBI TOPMed: Omics Phenotypes of Heart, Lung, and Blood Disorders (X01 - Clinical Trial Not Allowed)",Clinical Trial Not Allowed,discovery,"This Notice of Funding Opportunity (NOFO) invites applications to use NHLBI-funded TransOmics for Precision Medicine (TOPMed) program to access TOPMed capacity to generate a large volume of integrated genetic and multi-omics data to facilitate discovery of the molecular mechanisms of Heart, Lung, Blood, and Sleep (HLBS) disorders. No funding will be provided under this NOFO. The genomic data and related phenotypic data will be deposited in a public NIH-designated controlled-access database such as the database for Genotypes and Phenotypes (dbGaP) and NHLBI's BioData Catalyst (BDC). The…",current,,,,,,,,,,,
g024,32a5d658-b56b-4701-9008-fa26c56378a2,Jill A Hollenbach,Molecular / cellular mechanistic,discovery,Autoreactomes in Healthy Individuals Vary According to HLA Class II Genotype. | Copy number variation at the complement C4 locus is associated with risk for multiple sclerosis. | An HLA Association With COVID-19 Vaccine Reactogenicity Correlates With Fewer SARS-CoV-2 Infections and Monocyte Activation.,803a9b60-5c51-46a4-915c-32af964dc9b7,PAR-25-447,"NHLBI TOPMed: Omics Phenotypes of Heart, Lung, and Blood Disorders (X01 - Clinical Trial Not Allowed)",Clinical Trial Not Allowed,discovery,"This Notice of Funding Opportunity (NOFO) invites applications to use NHLBI-funded TransOmics for Precision Medicine (TOPMed) program to access TOPMed capacity to generate a large volume of integrated genetic and multi-omics data to facilitate discovery of the molecular mechanisms of Heart, Lung, Blood, and Sleep (HLBS) disorders. No funding will be provided under this NOFO. The genomic data and related phenotypic data will be deposited in a public NIH-designated controlled-access database such as the database for Genotypes and Phenotypes (dbGaP) and NHLBI's BioData Catalyst (BDC). The…",current,,,,,,,,,,,
g025,48379ce4-c9b5-4b3d-99af-06ee4f9ba0ac,Tiffany C Scharschmidt,Molecular / cellular mechanistic,discovery,Commensal-myeloid crosstalk in neonatal skin regulates interleukin-1 signaling and cutaneous type 17 inflammation. | Skin immunity: dissecting the complex biology of our body's outer barrier. | The best offense is a good beta-defensin.,cc9c6933-60a0-4c9d-a002-55c3f29bc003,PAR-25-210,Enhancing Mechanistic Research on Precision Probiotic Therapies (R33 Clinical Trial Optional),Clinical Trial Optional,discovery,"The purpose of this notice of funding opportunity (NOFO) is to support highly innovative mechanistic research to accelerate the development of effective precision probiotic interventions. The NOFO aims to identify, understand, and develop strategies to address barriers in precision probiotic interventions' development to account for human heterogeneity resulting in inconsistent responses to probiotic treatments. Specifically, this NOFO solicits R33 applications that will assess the causality of person-specific features or patterns affecting probiotic responses and identify subgroups of…",current,,,,,,,,,,,
g026,d77cb556-2bce-4fa9-bd0e-d14fb2b32bd6,Paola A Betancur,Molecular / cellular mechanistic,discovery,"Enhancer Clusters Drive Type I Interferon-Induced TRAIL Overexpression in Cancer, and Its Intracellular Protein Accumulation Fails to Induce Apoptosis. | An InDel Genomic Variant within a Bifunctional Super-Enhancer for LINC00636 and CD47 Regulation in Breast Cancer. | UCSF Profiles narrative (prior — reliability 0.6, never counted as a source)",803a9b60-5c51-46a4-915c-32af964dc9b7,PAR-25-447,"NHLBI TOPMed: Omics Phenotypes of Heart, Lung, and Blood Disorders (X01 - Clinical Trial Not Allowed)",Clinical Trial Not Allowed,discovery,"This Notice of Funding Opportunity (NOFO) invites applications to use NHLBI-funded TransOmics for Precision Medicine (TOPMed) program to access TOPMed capacity to generate a large volume of integrated genetic and multi-omics data to facilitate discovery of the molecular mechanisms of Heart, Lung, Blood, and Sleep (HLBS) disorders. No funding will be provided under this NOFO. The genomic data and related phenotypic data will be deposited in a public NIH-designated controlled-access database such as the database for Genotypes and Phenotypes (dbGaP) and NHLBI's BioData Catalyst (BDC). The…",current,,,,,,,,,,,
g027,2852a78f-5026-4c54-b77b-a9ae7c1d0d17,Andrei Goga,Molecular / cellular mechanistic,discovery,Tumor cell-adipocyte gap junctions activate lipolysis and contribute to breast tumorigenesis. | Alanine catabolism as a targetable vulnerability for MYC-driven liver cancer. | Tumor Cell Spatial Organization Directs EGFR/RAS/RAF Pathway Primary Therapy Resistance through YAP Signaling.,49640efe-2d80-4f97-8519-dd41989344d8,PAR-25-069,Mechanisms that Impact Cancer Risk with Use of Incretin Mimetics (R01 Clinical Trial Optional),Clinical Trial Optional,none,"Through this notice of funding opportunity (NOFO), the National Cancer Institute (NCI) invites applications for investigator-initiated studies addressing mechanisms by which incretin mimetics, specifically glucagon-like peptide (GLP)-1 or dual GLP-1/ glucose?dependent insulinotropic polypepide (GIP)-1 receptor agonists (RAs), impact cancer risk. The focus on these agents is due to their reported effects on thyroid, prostate and other cancer risks, and the generally more favorable efficacy and side effect profile compared to other classes of incretin mimetics. In addition, this NOFO seeks to…",current,,,,,,,,,,,
g028,e77bca98-2a7d-4a3b-b863-bf908b6cb668,Jeannette L Tenthorey,Molecular / cellular mechanistic,discovery,"Indels allow antiviral proteins to evolve functional novelty inaccessible by missense mutations. | Defining HIV evolution at the innate immune interface (1DP2AI184621-01 · FY2024 · DP2) | UCSF Profiles narrative (prior — reliability 0.6, never counted as a source)",e6d15fed-92e7-425c-816e-564bdaadcabe,PAR-25-068,"Pilot Studies of Biological, Behavioral and Social Mechanisms Contributing to HIV Pathogenesis Within the Mission of NIDDK (R21 Clinical Trial Not Allowed)",Clinical Trial Not Allowed,discovery,"This Notice of Funding Opportunity (NOFO) invites applications for innovative basic and translational pilot research projects within the mission of NIDDK that are aligned with NIH HIV/AIDS research priorities. These priorities were most recently outlined by the NIH Office of AIDS Research (OAR) in NOT-OD-20-018, UPDATE: NIH HIV/AIDS Research Priorities and Guidelines for Determining HIV/AIDS Funding. Potential topics could address multiple overarching priorities. These include elucidation of unique pathophysiological mechanisms contributing to HIV comorbidities, coinfections, and…",current,,,,,,,,,,,
