pair_id,investigator_id,investigator_name,investigator_paradigm,investigator_family,evidence_top3,opportunity_id,notice_number,notice_title,designation,notice_family,purpose_excerpt,stratum,synthetic,tier_a,reason_a,axis_reason_a,tier_b,reason_b,axis_reason_b,tier_adj,reason_adj,axis_reason_adj,notes
g202,04e59cf5-600a-462c-91bc-b2b97f122c3d,Kole T Roybal,,,,a3937a18-3da4-4711-b98f-27c472443108,PAR-27-081,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g203,116cdac4-0f58-41ee-b753-b779b9b2784f,Satish K Pillai,,,,fee49de7-e1f2-4c59-afce-4da5ec064ccb,PAS-27-028,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g204,139becf2-467a-478d-b373-71483f58ba30,Thomas Arnold,,,,a3937a18-3da4-4711-b98f-27c472443108,PAR-27-081,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g205,31c0e2c5-6af5-4861-8c7f-29e8ce493f7c,Jennifer M Puck,,,,70777dc9-214e-4084-b5f2-4b9b8a954466,PAR-25-266,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g206,377f678d-3669-4a2e-a74b-afae07cdf6f0,Michael T McManus,,,,fee49de7-e1f2-4c59-afce-4da5ec064ccb,PAS-27-028,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g207,4b4f6e23-1fd5-40ab-b298-119be02747dd,Babak Javid,,,,fee49de7-e1f2-4c59-afce-4da5ec064ccb,PAS-27-028,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g208,4b4fa146-0219-4ceb-919a-6afcfc00d64a,Ari B Molofsky,,,,a3937a18-3da4-4711-b98f-27c472443108,PAR-27-081,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g209,783a319d-a2ee-42cd-ade4-4c495451953f,Nadia R Roan,,,,fee49de7-e1f2-4c59-afce-4da5ec064ccb,PAS-27-028,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g210,7c97da80-0237-4a11-87ea-54dd8a892923,Alexander Marson,,,,257a590e-b07f-49b0-8557-1a8b87214b78,PAR-24-325,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g211,7c97da80-0237-4a11-87ea-54dd8a892923,Alexander Marson,,,,a3937a18-3da4-4711-b98f-27c472443108,PAR-27-081,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g212,7c97da80-0237-4a11-87ea-54dd8a892923,Alexander Marson,,,,fee49de7-e1f2-4c59-afce-4da5ec064ccb,PAS-27-028,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g213,8dca35eb-d50f-4072-861a-2397f6eb379a,Averil Ma,,,,fee49de7-e1f2-4c59-afce-4da5ec064ccb,PAS-27-028,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g214,913f41b1-7d30-4eaa-90a9-d64cf6639d5c,Robert L Raffai,,,,45031d63-28a3-40da-8a70-ff5fb2a8ac9e,PAR-25-070,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g215,913f41b1-7d30-4eaa-90a9-d64cf6639d5c,Robert L Raffai,,,,49640efe-2d80-4f97-8519-dd41989344d8,PAR-25-069,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g216,958d9cac-b96b-4c4f-a90c-6a40943c421f,Melanie Ott,,,,fee49de7-e1f2-4c59-afce-4da5ec064ccb,PAS-27-028,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g217,b4a80e13-080a-4c22-b726-7d9df21c19be,Lewis L Lanier,,,,0527863e-e18a-43f2-aa19-7b4a71ebb983,PAR-25-272,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g218,b4a80e13-080a-4c22-b726-7d9df21c19be,Lewis L Lanier,,,,fee49de7-e1f2-4c59-afce-4da5ec064ccb,PAS-27-028,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g219,b4b23925-cb44-4cee-b9b3-10ea0fa383b6,Samuel J Pleasure,,,,a3937a18-3da4-4711-b98f-27c472443108,PAR-27-081,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g220,be7ade9b-cda3-4266-b6c4-dfbcdb778110,Tippi C MacKenzie,,,,70777dc9-214e-4084-b5f2-4b9b8a954466,PAR-25-266,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g221,c3e2049b-4179-448b-8b06-a9fe4852fc1e,Emily L Goldberg,,,,45031d63-28a3-40da-8a70-ff5fb2a8ac9e,PAR-25-070,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g222,c65afc81-a5f0-4946-acfa-fc7576ca2218,Jayanta Debnath,,,,fee49de7-e1f2-4c59-afce-4da5ec064ccb,PAS-27-028,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g223,d319da9b-04c1-428d-a741-cae7f49cefaa,Katerina Akassoglou,,,,0527863e-e18a-43f2-aa19-7b4a71ebb983,PAR-25-272,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g224,d319da9b-04c1-428d-a741-cae7f49cefaa,Katerina Akassoglou,,,,45031d63-28a3-40da-8a70-ff5fb2a8ac9e,PAR-25-070,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g225,d319da9b-04c1-428d-a741-cae7f49cefaa,Katerina Akassoglou,,,,4e295dee-2f2d-4754-b2ae-8953560aae0a,PAR-25-286,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g226,d319da9b-04c1-428d-a741-cae7f49cefaa,Katerina Akassoglou,,,,87159b6a-abee-48bb-b648-d58086d5dff5,PAR-25-225,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g227,d319da9b-04c1-428d-a741-cae7f49cefaa,Katerina Akassoglou,,,,a3937a18-3da4-4711-b98f-27c472443108,PAR-27-081,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g228,ec18bb4c-dc98-4f76-a988-b1e4673941e9,Matthias Wabl,,,,fee49de7-e1f2-4c59-afce-4da5ec064ccb,PAS-27-028,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
g001,c72b5d76-8aee-4989-843f-a7b88a3eb5ab,Wilson Liao,,,,10739bb1-5684-44d8-988b-c5f286f05dac,RFA-AI-27-004,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy not_shown / outreach strong taken as the label, not a strategist judgment"
g002,2ed11cbc-29c0-400a-b807-ebeea70f9c8e,Marlys S Fassett,,,,10739bb1-5684-44d8-988b-c5f286f05dac,RFA-AI-27-004,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong / outreach strong taken as the label, not a strategist judgment"
g003,48379ce4-c9b5-4b3d-99af-06ee4f9ba0ac,Tiffany C Scharschmidt,,,,10739bb1-5684-44d8-988b-c5f286f05dac,RFA-AI-27-004,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy dropped / outreach strong taken as the label, not a strategist judgment"
g004,139becf2-467a-478d-b373-71483f58ba30,Thomas Arnold,,,,5fda7616-99f5-40d4-abab-d5db4df5326b,PAR-25-037,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g005,0e37b839-604f-459f-a705-c407ed1c75d6,Jarish N Cohen,,,,9ae38beb-d5bd-438a-8eec-c631023596aa,PA-25-093,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g006,85058087-2c17-46ac-86e0-c44b4f8ffe13,Mallar Bhattacharya,,,,a2bad359-6326-4ccb-8949-cd391fc3f2fe,PAR-24-065,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g007,bbb7bfec-8a66-4bfa-926d-203480a36fd4,Joanna J Phillips,,,,7738100f-41f8-4f8e-9f26-07b2055653bf,PAR-27-071,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g008,5dd30774-1d78-40ab-9efe-367d8b63ecde,Gabriela K Fragiadakis,,,,803a9b60-5c51-46a4-915c-32af964dc9b7,PAR-25-447,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g009,8850ac87-c422-4022-905c-885b330f2eb4,Julia Carnevale,,,,d5732d02-20fc-4243-9672-48f17232e905,RFA-CA-27-020,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g010,1beac144-b544-45f2-ada4-25b7d87e3f07,Rushika M Perera,,,,45031d63-28a3-40da-8a70-ff5fb2a8ac9e,PAR-25-070,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g011,9a53c7cc-46be-4075-b587-28e52483dbf6,Hugo Gonzalez Velozo,,,,8377a065-fed6-42a9-91a3-b8b66c3c45bf,PAR-25-038,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g012,b7df095b-3f23-4a47-93a7-d9e8d86b828f,Jacob S Young,,,,840a60f5-2c2f-45bf-8335-ce7e7dda2f3f,RFA-CA-27-005,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g013,6b1d1dbd-539e-45f0-955c-682f4dc9fa7d,Elizabeth E Crouch,,,,5fda7616-99f5-40d4-abab-d5db4df5326b,PAR-25-037,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g014,019aef54-10ea-42d7-8399-83c706f7f6e8,Aleksandar Rajkovic,,,,70777dc9-214e-4084-b5f2-4b9b8a954466,PAR-25-266,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g015,31c0e2c5-6af5-4861-8c7f-29e8ce493f7c,Jennifer M Puck,,,,d40cae3b-c777-425a-a24e-ea9dc9ea9fc3,PAR-25-185,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g016,be7ade9b-cda3-4266-b6c4-dfbcdb778110,Tippi C MacKenzie,,,,b0f166c7-b28c-41f7-8091-b644a5d9743e,PAR-25-265,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g017,bc351a73-0c5e-4247-9bff-7e681c6e5b46,Margaret E Feeney,,,,d466aefd-be25-4f4b-bca1-4f73b531e223,PAR-25-362,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g018,e7ad1842-9635-40c3-89b0-b0efae927f63,Peter J Turnbaugh,,,,cc9c6933-60a0-4c9d-a002-55c3f29bc003,PAR-25-210,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g019,85754923-7a39-4f96-8879-7aae85f87f99,Matthew H Spitzer,,,,803a9b60-5c51-46a4-915c-32af964dc9b7,PAR-25-447,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g020,839f4bfe-daa5-4972-848f-a6514f496f76,Michael Alexanian,,,,5fda7616-99f5-40d4-abab-d5db4df5326b,PAR-25-037,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g021,3748aa25-0c77-4c04-aabc-42489eebe490,John R Greenland,,,,803a9b60-5c51-46a4-915c-32af964dc9b7,PAR-25-447,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g022,9a53c7cc-46be-4075-b587-28e52483dbf6,Hugo Gonzalez Velozo,,,,5fda7616-99f5-40d4-abab-d5db4df5326b,PAR-25-037,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g023,2bed2bdf-7ff3-46b4-8f59-fc2eedf258d2,Anthony K Shum,,,,803a9b60-5c51-46a4-915c-32af964dc9b7,PAR-25-447,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g024,32a5d658-b56b-4701-9008-fa26c56378a2,Jill A Hollenbach,,,,803a9b60-5c51-46a4-915c-32af964dc9b7,PAR-25-447,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g025,48379ce4-c9b5-4b3d-99af-06ee4f9ba0ac,Tiffany C Scharschmidt,,,,cc9c6933-60a0-4c9d-a002-55c3f29bc003,PAR-25-210,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g026,d77cb556-2bce-4fa9-bd0e-d14fb2b32bd6,Paola A Betancur,,,,803a9b60-5c51-46a4-915c-32af964dc9b7,PAR-25-447,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g027,2852a78f-5026-4c54-b77b-a9ae7c1d0d17,Andrei Goga,,,,49640efe-2d80-4f97-8519-dd41989344d8,PAR-25-069,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g028,e77bca98-2a7d-4a3b-b863-bf908b6cb668,Jeannette L Tenthorey,,,,e6d15fed-92e7-425c-816e-564bdaadcabe,PAR-25-068,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g029,2ed11cbc-29c0-400a-b807-ebeea70f9c8e,Marlys S Fassett,,,,e6a816aa-5c8b-460a-9226-3cd7fc2bea1b,PAR-27-082,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g030,b4b23925-cb44-4cee-b9b3-10ea0fa383b6,Samuel J Pleasure,,,,5fda7616-99f5-40d4-abab-d5db4df5326b,PAR-25-037,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g031,2852a78f-5026-4c54-b77b-a9ae7c1d0d17,Andrei Goga,,,,45031d63-28a3-40da-8a70-ff5fb2a8ac9e,PAR-25-070,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g032,0ec1e65f-ee29-4dc6-9ed0-914358c12ed7,Mark S Anderson,,,,ca5ae9ed-6b20-41b0-8862-9fd44d06f14a,RFA-DK-27-108,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g033,32a5d658-b56b-4701-9008-fa26c56378a2,Jill A Hollenbach,,,,d40cae3b-c777-425a-a24e-ea9dc9ea9fc3,PAR-25-185,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g034,c65afc81-a5f0-4946-acfa-fc7576ca2218,Jayanta Debnath,,,,8377a065-fed6-42a9-91a3-b8b66c3c45bf,PAR-25-038,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g035,e7ad1842-9635-40c3-89b0-b0efae927f63,Peter J Turnbaugh,,,,49640efe-2d80-4f97-8519-dd41989344d8,PAR-25-069,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g036,604d2746-e207-465a-a651-b3f8520b590f,Karin Pelka,,,,0dc3d38a-d434-42a6-963e-a7658f690bd0,RFA-CA-27-012,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g037,3c89de7d-b0a9-4cb3-8bab-9799212dd3fa,Qizhi Tang,,,,6d33b76b-4816-420b-93e4-dc77c0d64bf9,RFA-DK-27-109,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g038,04e59cf5-600a-462c-91bc-b2b97f122c3d,Kole T Roybal,,,,840a60f5-2c2f-45bf-8335-ce7e7dda2f3f,RFA-CA-27-005,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g039,82c8be9f-9af5-40ab-976f-91b60b288d89,Marina Sirota,,,,803a9b60-5c51-46a4-915c-32af964dc9b7,PAR-25-447,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
g040,ce59c871-16f2-4cb2-b306-56c87e08e843,Timothy J Henrich,,,,e6d15fed-92e7-425c-816e-564bdaadcabe,PAR-25-068,,,,,current,,Strong,,,Strong,,,,,,"SYNTHETIC FIXTURE — legacy strong taken as the label, not a strategist judgment"
